번호,종목명,평가액(억원),자산군 내 비중(%),지분율(%)
1,삼성전자,517051,29.5,10.7
2,SK하이닉스,94594,5.4,11
3,LG화학,56584,3.2,9.7
4,NAVER,55607,3.2,11.6
5,삼성SDI,43058,2.5,10
6,현대차,42013,2.4,10.2
7,셀트리온,40292,2.3,8.3
8,카카오,29471,1.7,8.6
9,현대모비스,28649,1.6,11.8
10,POSCO,27803,1.6,11.7
11,엔씨소프트,24977,1.4,12.2
12,삼성바이오로직스,23698,1.4,4.3
13,기아차,22468,1.3,8.9
14,LG전자,21848,1.2,9.9
15,삼성물산,21698,1.2,8.4
16,LG생활건강,21124,1.2,8.4
17,SK텔레콤,20984,1.2,10.9
18,SK이노베이션,19329,1.1,11
19,KB금융,17917,1,9.9
20,삼성전기,17053,1,12.8
21,신한지주,16269,0.9,9.8
22,한국전력,15149,0.9,8.6
23,SK,13810,0.8,8.2
24,KT&G,13097,0.7,11.5
25,LG,11816,0.7,7.8
26,하나금융지주,10276,0.6,9.9
27,삼성생명,10158,0.6,6.4
28,삼성화재,9517,0.5,10.7
29,삼성에스디에스,9259,0.5,6.7
30,롯데케미칼,8868,0.5,9.4
31,아모레퍼시픽,8249,0.5,6.9
32,한국조선해양,7910,0.5,10.3
33,한화솔루션,7910,0.5,10.3
34,KT,7213,0.4,11.5
35,우리금융지주,6888,0.4,9.8
36,넷마블,6300,0.4,5.6
37,CJ제일제당,6259,0.4,10.9
38,삼성전자우,6237,0.4,1
39,고려아연,6163,0.4,8.1
40,현대글로비스,6043,0.3,8.8
41,유한양행,5948,0.3,11.9
42,한국금융지주,5938,0.3,13.5
43,LG유플러스,5819,0.3,11.3
44,이마트,5338,0.3,12.6
45,한온시스템,5133,0.3,5.9
46,삼성증권,4845,0.3,13.4
47,현대중공업지주,4802,0.3,10.7
48,미래에셋대우,4779,0.3,7.9
49,녹십자,4765,0.3,10
50,현대건설,4705,0.3,11.3
51,SK케미칼,4619,0.3,10
52,기업은행,4446,0.3,6.8
53,S-Oil,4402,0.3,5.7
54,현대제철,4236,0.2,8
55,LG이노텍,4224,0.2,9.8
56,한국타이어앤테크놀로지,4217,0.2,8.6
57,SKC,4180,0.2,11.7
58,대한항공,4107,0.2,8.7
59,SK바이오팜,4004,0.2,3
60,GS건설,4000,0.2,13.2
61,키움증권,3870,0.2,12.9
62,대림산업,3854,0.2,13.3
63,포스코케미칼,3836,0.2,6.1
64,현대차2우B,3831,0.2,11.7
65,코웨이,3764,0.2,7
66,호텔신라,3674,0.2,11.4
67,금호석유,3636,0.2,8.2
68,LG디스플레이,3512,0.2,5.3
69,만도,3498,0.2,12.7
70,오리온,3479,0.2,7.1
71,강원랜드,3430,0.2,6.8
72,CJ대한통운,3426,0.2,9.1
73,한미약품,3343,0.2,7.7
74,씨에스윈드,3234,0.2,10.6
75,DB손해보험,3183,0.2,10.3
76,신세계,3149,0.2,13.4
77,DB하이텍,3050,0.2,13.5
78,LS,3044,0.2,13.2
79,한솔케미칼,3027,0.2,13.6
80,GS,3010,0.2,8.6
81,삼성중공업,3002,0.2,6.8
82,NH투자증권,2940,0.2,9.2
83,SK머티리얼즈,2835,0.2,7.5
84,두산밥캣,2822,0.2,9.5
85,휠라홀딩스,2657,0.2,10
86,한올바이오파마,2645,0.2,13.5
87,종근당,2606,0.1,10.6
88,LS ELECTRIC,2553,0.1,13.5
89,셀트리온헬스케어,2519,0.1,1
90,제일기획,2515,0.1,10.6
91,BNK금융지주,2499,0.1,13.5
92,LG화학우,2416,0.1,8.2
93,빅히트,2395,0.1,4.2
94,HDC현대산업개발,2263,0.1,13.2
95,현대백화점,2239,0.1,13.4
96,HMM,2209,0.1,4.9
97,OCI,2194,0.1,9.9
98,삼성엔지니어링,2131,0.1,8.2
99,에스원,2105,0.1,6.5
100,현대미포조선,2084,0.1,10.9
